date,latitude,longitude,temperature_c,relative_humidity_pct,precipitation_mm,surface_pressure_hpa,wind_speed_ms,wind_direction_deg,wind_u,wind_v,source,pm10,pm25,no2,so2,co,o3,aerosol_index,latitude_s5p,longitude_s5p,source_s5p,cloud_fraction,qa_value,ndvi,ndbi,ndwi,cloud_probability,factory_id,factory_name,process,electricity_kwh,natural_gas_m3,diesel_litres,production_tonnes,raw_material_tonnes,waste_tonnes,recycled_tonnes,operating_hours,category,total_energy_mwh,energy_intensity_mwh_per_tonne,fuel_intensity_gas_m3_per_tonne,waste_intensity_kg_per_tonne,recycling_rate_pct,calculated_scope1_co2e_tonnes,calculated_scope2_co2e_tonnes,calculated_total_co2e_tonnes,emission_intensity_co2e_per_tonne,day,month,year,day_of_week,month_sin,month_cos,dow_sin,dow_cos,no2_lag_1d,no2_lag_7d,so2_lag_1d,co_lag_1d,pm25_lag_1d,no2_7d_mean,no2_30d_mean,so2_7d_mean,pm25_7d_mean,environmental_risk_score
2023-01-11,22.4125,73.0944,19.9,64,0.0,1009.4,2.69,108,-2.563,0.833,ERA5 Reanalysis (Open-Meteo Historical Archive),85.475,59.217,41.896,17.579,632.5,56.458,0.301,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",9474.0,760.3,0.0,61.9,70.6,0.2352,0.0588,24.0,FACTORY_OPERATIONAL_DATA,17.457,0.282,12.283,3.8,25.0,1.543,5.766,7.309,0.1181,11,1,2023,2,0.5,0.866,0.9749,-0.2225,34.762,10.892,7.475,525.125,46.392,21.452,20.143,14.472,57.405,52.2
2023-01-12,22.4125,73.0944,21.5,65,0.0,1007.7,3.22,253,3.081,0.942,ERA5 Reanalysis (Open-Meteo Historical Archive),71.25,46.246,50.617,23.542,701.333,35.208,0.312,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",7874.0,615.4,0.0,52.4,59.7,0.1991,0.0498,24.0,FACTORY_OPERATIONAL_DATA,14.336,0.2736,11.744,3.8,25.0,1.249,4.792,6.041,0.1153,12,1,2023,3,0.5,0.866,0.4339,-0.901,41.896,12.408,17.579,632.5,59.217,26.91,22.682,15.833,55.719,56.0
2023-01-13,22.4125,73.0944,19.4,53,0.0,1009.0,2.81,288,2.668,-0.867,ERA5 Reanalysis (Open-Meteo Historical Archive),61.167,40.033,43.729,25.242,517.792,44.083,0.28,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",7485.0,599.0,0.0,51.9,59.2,0.1972,0.0493,24.0,FACTORY_OPERATIONAL_DATA,13.774,0.2654,11.541,3.8,25.0,1.216,4.555,5.771,0.1112,13,1,2023,4,0.5,0.866,-0.4339,-0.901,50.617,12.588,23.542,701.333,46.246,31.359,24.301,16.207,49.442,52.1
2023-01-14,22.4125,73.0944,17.4,49,0.0,1010.6,3.31,27,-1.501,-2.945,ERA5 Reanalysis (Open-Meteo Historical Archive),63.887,43.988,35.6,12.2,587.333,59.5,0.259,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6512.0,522.6,411.7,43.6,49.7,0.1657,0.0414,24.0,FACTORY_OPERATIONAL_DATA,16.116,0.3696,11.986,3.8,25.0,2.164,3.963,6.127,0.1405,14,1,2023,5,0.5,0.866,-0.9749,-0.2225,43.729,12.521,25.242,517.792,40.033,34.656,25.108,15.247,46.649,40.1
2023-01-15,22.4125,73.0944,17.5,49,0.0,1009.3,3.75,33,-2.042,-3.145,ERA5 Reanalysis (Open-Meteo Historical Archive),61.038,42.367,24.004,12.442,567.083,76.625,0.278,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",4890.0,370.9,59.0,32.3,36.2,0.1163,0.032600000000000004,18.0,FACTORY_OPERATIONAL_DATA,9.374,0.2902,11.483,3.6,28.0,0.911,2.976,3.887,0.1203,15,1,2023,6,0.5,0.866,-0.7818,0.6235,35.6,12.525,12.2,587.333,43.988,36.296,25.035,15.408,46.044,34.7
2023-01-16,22.4125,73.0944,17.7,47,0.0,1009.0,3.25,30,-1.625,-2.815,ERA5 Reanalysis (Open-Meteo Historical Archive),59.896,41.646,19.412,11.562,501.958,88.0,0.307,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",7823.0,616.7,188.9,52.7,60.1,0.2003,0.0501,24.0,FACTORY_OPERATIONAL_DATA,16.187,0.3072,11.702,3.8,25.0,1.758,4.761,6.519,0.1237,16,1,2023,0,0.5,0.866,0.0,1.0,24.004,23.463,12.442,567.083,42.367,35.717,24.683,15.72,45.698,31.7
2023-01-17,22.4125,73.0944,18.4,45,0.0,1009.5,3.64,35,-2.087,-2.981,ERA5 Reanalysis (Open-Meteo Historical Archive),58.292,40.613,15.942,11.75,423.25,93.542,0.292,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6103.0,505.4,0.0,40.5,46.2,0.1539,0.0385,24.0,FACTORY_OPERATIONAL_DATA,11.41,0.2817,12.479,3.8,25.0,1.026,3.714,4.74,0.117,17,1,2023,1,0.5,0.866,0.7818,0.6235,19.412,34.762,11.562,501.958,41.646,33.029,24.169,16.331,44.873,30.0
2023-01-18,22.4125,73.0944,19.4,52,0.0,1010.4,3.61,47,-2.641,-2.463,ERA5 Reanalysis (Open-Meteo Historical Archive),64.55,45.042,19.604,8.958,409.458,88.5,0.285,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",7384.0,561.9,0.0,45.9,52.3,0.1744,0.0436,24.0,FACTORY_OPERATIONAL_DATA,13.284,0.2894,12.242,3.8,25.0,1.141,4.494,5.635,0.1228,18,1,2023,2,0.5,0.866,0.9749,-0.2225,15.942,41.896,11.75,423.25,40.613,29.844,23.916,15.099,42.848,31.1
2023-01-19,22.4125,73.0944,20.2,58,0.0,1009.4,3.19,41,-2.096,-2.411,ERA5 Reanalysis (Open-Meteo Historical Archive),75.979,53.058,33.504,10.7,538.25,78.792,0.353,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6797.0,503.1,0.0,42.8,48.8,0.1626,0.040600000000000004,24.0,FACTORY_OPERATIONAL_DATA,12.08,0.2822,11.755,3.8,25.0,1.021,4.137,5.158,0.1205,19,1,2023,3,0.5,0.866,0.4339,-0.901,19.604,50.617,8.958,409.458,45.042,27.399,24.42,13.265,43.821,41.3
2023-01-20,22.4125,73.0944,20.3,64,0.0,1008.6,2.83,7,-0.345,-2.812,ERA5 Reanalysis (Open-Meteo Historical Archive),102.483,71.579,53.488,19.721,781.208,61.792,0.363,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",8373.0,612.7,0.0,52.0,59.3,0.1976,0.0494,24.0,FACTORY_OPERATIONAL_DATA,14.806,0.2847,11.783,3.8,25.0,1.244,5.096,6.34,0.1219,20,1,2023,4,0.5,0.866,-0.4339,-0.901,33.504,43.729,10.7,538.25,53.058,28.793,25.874,12.476,48.328,63.2
2023-01-21,22.4125,73.0944,20.1,39,0.0,1009.4,3.58,325,2.055,-2.935,ERA5 Reanalysis (Open-Meteo Historical Archive),82.9,57.404,40.962,18.417,548.708,62.333,0.346,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6566.0,541.3,0.0,46.0,52.4,0.1748,0.0437,24.0,FACTORY_OPERATIONAL_DATA,12.25,0.2663,11.767,3.8,25.0,1.099,3.996,5.095,0.1108,21,1,2023,5,0.5,0.866,-0.9749,-0.2225,53.488,35.6,19.721,781.208,71.579,29.559,26.592,13.364,50.244,51.8
2023-01-22,22.4125,73.0944,18.7,40,0.0,1009.2,3.22,316,2.238,-2.318,ERA5 Reanalysis (Open-Meteo Historical Archive),80.408,54.854,39.642,22.975,574.417,65.333,0.317,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",5755.0,435.7,21.1,39.2,43.9,0.1411,0.0395,18.0,FACTORY_OPERATIONAL_DATA,10.541,0.2689,11.115,3.6,28.0,0.941,3.502,4.443,0.1133,22,1,2023,6,0.5,0.866,-0.7818,0.6235,40.962,24.004,18.417,548.708,57.404,31.793,27.185,14.869,52.028,53.8
2023-01-23,22.4125,73.0944,18.2,44,0.0,1008.4,2.92,293,2.685,-1.14,ERA5 Reanalysis (Open-Meteo Historical Archive),95.833,66.183,45.004,26.825,612.5,58.375,0.38,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6640.0,539.0,252.2,44.1,50.3,0.1676,0.0419,24.0,FACTORY_OPERATIONAL_DATA,14.822,0.3361,12.222,3.8,25.0,1.77,4.041,5.811,0.1318,23,1,2023,0,0.5,0.866,0.0,1.0,39.642,19.412,22.975,574.417,54.854,35.449,27.96,17.049,55.533,63.0
2023-01-24,22.4125,73.0944,18.6,48,0.0,1008.5,3.11,289,2.942,-1.013,ERA5 Reanalysis (Open-Meteo Historical Archive),128.275,87.742,41.9,31.025,707.708,69.583,0.689,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",7324.0,554.2,0.0,45.9,52.3,0.1744,0.0436,24.0,FACTORY_OPERATIONAL_DATA,13.143,0.2863,12.074,3.8,25.0,1.125,4.457,5.582,0.1216,24,1,2023,1,0.5,0.866,0.7818,0.6235,45.004,15.942,26.825,612.5,66.183,39.158,28.541,19.803,62.266,72.3
2023-01-25,22.4125,73.0944,19.1,46,0.0,1009.5,3.72,350,0.646,-3.666,ERA5 Reanalysis (Open-Meteo Historical Archive),117.654,81.242,28.483,21.479,677.708,75.375,0.697,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6930.0,548.6,0.0,45.4,51.8,0.1725,0.0431,24.0,FACTORY_OPERATIONAL_DATA,12.69,0.2795,12.084,3.8,25.0,1.114,4.218,5.332,0.1174,25,1,2023,2,0.5,0.866,0.9749,-0.2225,41.9,19.604,31.025,707.708,87.742,40.426,28.539,21.592,67.437,57.0
2023-01-26,22.4125,73.0944,20.3,50,0.0,1010.1,4.81,27,-2.182,-4.282,ERA5 Reanalysis (Open-Meteo Historical Archive),92.188,63.767,15.296,12.737,486.917,84.083,0.885,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",8228.0,615.3,24.6,52.8,60.2,0.2006,0.0501,24.0,FACTORY_OPERATIONAL_DATA,14.935,0.2829,11.653,3.8,25.0,1.315,5.008,6.323,0.1198,26,1,2023,3,0.5,0.866,0.4339,-0.901,28.483,33.504,21.479,677.708,81.242,37.825,28.029,21.883,68.967,38.6
2023-01-27,22.4125,73.0944,22.1,59,0.0,1009.6,4.44,41,-2.916,-3.354,ERA5 Reanalysis (Open-Meteo Historical Archive),95.646,66.229,11.121,11.092,465.083,95.458,0.815,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",7472.0,634.6,12.1,54.4,62.0,0.2067,0.0517,24.0,FACTORY_OPERATIONAL_DATA,14.256,0.2621,11.665,3.8,25.0,1.321,4.547,5.868,0.1079,27,1,2023,4,0.5,0.866,-0.4339,-0.901,15.296,53.488,12.737,486.917,63.767,31.773,27.403,20.65,68.203,36.4
2023-01-28,22.4125,73.0944,23.7,65,3.5,1006.8,5.61,51,-4.361,-3.531,ERA5 Reanalysis (Open-Meteo Historical Archive),96.942,66.992,19.779,10.308,491.375,81.0,1.007,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",7505.0,597.8,0.0,49.7,56.7,0.1889,0.047200000000000006,24.0,FACTORY_OPERATIONAL_DATA,13.782,0.2773,12.028,3.8,25.0,1.214,4.568,5.782,0.1163,28,1,2023,5,0.5,0.866,-0.9749,-0.2225,11.121,40.962,11.092,465.083,66.229,28.746,27.131,19.492,69.573,39.8
2023-01-29,22.4125,73.0944,22.8,71,3.7,1004.7,3.81,170,-0.661,3.748,ERA5 Reanalysis (Open-Meteo Historical Archive),127.35,87.479,39.779,23.8,762.583,79.125,1.233,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6214.0,478.6,131.3,42.5,47.6,0.153,0.0428,18.0,FACTORY_OPERATIONAL_DATA,12.552,0.2953,11.261,3.6,28.0,1.323,3.782,5.105,0.1201,29,1,2023,6,0.5,0.866,-0.7818,0.6235,19.779,39.642,10.308,491.375,66.992,28.766,27.567,19.609,74.233,65.9
2023-01-30,22.4125,73.0944,22.2,69,0.0,1009.4,3.25,15,-0.841,-3.139,ERA5 Reanalysis (Open-Meteo Historical Archive),114.283,78.704,45.538,12.925,765.833,72.292,0.99,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",6733.0,561.2,0.0,47.6,54.3,0.1809,0.045200000000000004,24.0,FACTORY_OPERATIONAL_DATA,12.626,0.2653,11.79,3.8,25.0,1.139,4.098,5.237,0.11,30,1,2023,0,0.5,0.866,0.0,1.0,39.779,45.004,23.8,762.583,87.479,28.842,28.166,17.624,76.022,57.2
2023-01-31,22.4125,73.0944,21.6,61,0.0,1011.2,5.33,30,-2.667,-4.619,ERA5 Reanalysis (Open-Meteo Historical Archive),73.567,50.604,16.529,6.954,372.208,72.625,0.444,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",7284.0,631.5,63.9,48.3,55.1,0.1835,0.045899999999999996,24.0,FACTORY_OPERATIONAL_DATA,14.554,0.3013,13.075,3.8,25.0,1.453,4.433,5.886,0.1219,31,1,2023,1,0.5,0.866,0.7818,0.6235,45.538,41.9,12.925,765.833,78.704,25.218,27.92,14.185,70.717,30.2
2023-02-01,22.4125,73.0944,21.5,54,0.0,1011.1,5.19,43,-3.543,-3.799,ERA5 Reanalysis (Open-Meteo Historical Archive),54.504,37.683,12.013,8.279,356.583,89.292,0.413,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",7750.0,612.7,123.8,49.5,56.4,0.1881,0.047,24.0,FACTORY_OPERATIONAL_DATA,15.421,0.3115,12.378,3.8,25.0,1.576,4.717,6.293,0.1271,1,2,2023,2,0.866,0.5,0.9749,-0.2225,16.529,28.483,6.954,372.208,50.604,22.865,27.597,12.299,64.494,24.7
2023-02-02,22.4125,73.0944,21.7,45,0.0,1010.4,3.97,59,-3.405,-2.046,ERA5 Reanalysis (Open-Meteo Historical Archive),40.421,28.067,20.688,6.625,352.75,76.125,0.256,22.412,73.094,Copernicus S5P TROPOMI & CAMS Multi-Sensor Assimilation,0.18,0.85,0.1429,0.125,-0.2444,15.0,FAC_VAD_01,Apex PetroChem & Polymers Ltd,"Utility Steam Boiler, Thermic Heater, DG Set & Distillation",8536.0,614.0,171.3,55.0,62.7,0.209,0.0522,24.0,FACTORY_OPERATIONAL_DATA,16.696,0.3036,11.164,3.8,25.0,1.706,5.195,6.901,0.1255,2,2,2023,3,0.866,0.5,0.4339,-0.901,12.013,15.296,8.279,356.583,37.683,23.635,27.79,11.426,59.394,23.8
