date,latitude,longitude,b2_blue,b3_green,b4_red,b8_nir,b11_swir1,b12_swir2,ndvi,ndbi,ndwi,cloud_probability,cloud_masked,source
2023-01-27,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-28,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-29,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-30,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-01-31,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-01,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-02,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-03,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-04,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-05,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-06,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-07,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-08,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-09,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-10,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-11,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-12,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-13,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-14,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-15,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-16,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-17,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-18,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-19,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-20,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-21,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-22,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-23,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-24,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-25,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-26,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-27,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-02-28,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-01,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-02,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-03,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-04,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-05,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-06,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-07,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-08,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-09,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-10,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-11,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-12,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-13,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-14,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-15,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-16,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-17,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-18,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-19,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-20,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-21,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-22,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-23,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-24,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-25,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-26,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-27,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-28,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-29,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-30,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-03-31,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-01,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-02,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-03,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-04,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-05,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-06,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-07,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-08,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-09,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-10,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-11,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-12,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-13,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-14,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-15,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-16,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-17,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-18,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-19,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-20,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-21,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-22,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-23,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-24,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-25,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-26,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-27,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-28,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-29,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-04-30,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-01,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-02,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-03,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-04,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-05,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-06,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-07,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-08,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-09,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-10,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-11,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-12,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-13,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-14,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-15,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-16,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-17,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-18,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-19,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-20,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-21,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-22,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-23,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-24,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-25,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-26,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
2023-05-27,22.4125,73.0944,0.14,0.17,0.21,0.28,0.36,0.31,0.1429,0.125,-0.2444,15.0,True,Sentinel-2 MSI Harmonized Surface Reflectance (10m/20m)
