batch_id,production_tonnes,operating_hours,natural_gas_m3,electricity_kwh,diesel_liters,boiler_temp_c,ambient_pm25_ugm3,ambient_no2_ugm3,ambient_so2_ugm3,waste_landfilled_kg,waste_recycled_kg,co2_emissions_tonnes,leak_anomaly_detected
BATCH-2024043,1154.8,575.0,17093.3,173601.0,1268.1,266.1,78.6,66.6,27.6,3418.1,928.4,142.73,1
BATCH-2024044,978.2,629.0,12316.1,143133.0,7000.0,244.1,89.4,37.6,28.0,2723.9,1325.8,130.65,0
BATCH-2024045,1092.0,612.0,11582.2,168786.0,5015.6,218.9,62.0,40.3,18.7,2484.7,1353.0,141.98,0
BATCH-2024046,1130.9,625.0,12929.5,161095.0,4246.7,213.1,82.1,48.4,40.0,3480.4,1000.9,139.2,0
BATCH-2024047,1358.6,657.0,15917.7,202646.0,745.7,223.5,61.4,49.0,35.0,3881.4,965.2,160.68,0
BATCH-2024048,1251.5,593.0,14533.2,188694.0,468.5,225.7,64.5,52.9,26.2,3724.8,844.0,146.29,0
BATCH-2024049,935.5,577.0,10447.4,144447.0,2761.4,238.1,47.1,69.1,28.2,2855.8,1273.4,118.52,0
BATCH-2024050,1248.6,573.0,19244.2,192985.0,6626.0,229.7,57.7,42.9,29.7,3274.6,1412.9,172.67,1
BATCH-2024051,1142.2,576.0,12889.2,162339.0,2034.1,243.4,48.3,35.4,11.7,3131.0,1274.8,130.84,0
BATCH-2024052,1098.5,598.0,12337.6,152496.0,2119.3,223.1,56.5,28.4,26.0,3431.1,1004.1,120.56,0
BATCH-2024053,1291.8,610.0,15279.9,203984.0,821.2,219.9,101.2,36.2,22.5,3751.6,1305.7,157.52,0
BATCH-2024054,1354.6,608.0,15757.0,205856.0,3668.7,212.9,57.1,44.6,20.0,3640.7,1552.1,167.32,0
BATCH-2024055,1339.7,625.0,20331.0,194966.0,517.7,230.1,135.9,66.5,25.8,3747.6,1452.7,165.62,1
BATCH-2024056,1074.1,600.0,,173527.0,977.7,234.9,88.9,38.8,42.4,2989.4,1813.3,133.64,0
BATCH-2024057,1153.6,644.0,13420.3,173968.0,1385.4,225.9,82.1,47.7,33.1,3461.3,905.1,137.06,0
BATCH-2024058,1249.7,592.0,14777.9,196888.0,1771.2,209.5,59.1,44.8,23.4,3274.9,1534.3,155.16,0
BATCH-2024059,1346.3,682.0,15797.6,202490.0,694.0,209.5,93.4,59.3,32.6,4014.4,1416.8,156.03,0
BATCH-2024060,1128.1,619.0,12558.9,185705.0,400.0,221.0,65.3,75.3,39.2,3391.7,1226.9,137.58,0
BATCH-2024061,1172.2,574.0,13199.6,189865.0,2358.0,245.0,80.7,38.6,35.4,3254.1,1556.2,151.91,0
BATCH-2024062,1034.0,568.0,12265.2,153116.0,851.4,221.9,134.3,39.1,28.5,2808.5,1312.5,117.91,0
BATCH-2024063,1020.6,614.0,12041.7,160858.0,2176.1,207.0,75.9,57.5,22.8,2198.0,1337.2,124.86,0
BATCH-2024064,1321.9,593.0,15191.2,203445.0,419.2,222.1,103.3,53.2,33.6,4379.2,1133.9,157.48,0
BATCH-2024065,1403.4,621.0,16198.2,221464.0,1640.3,221.7,62.5,67.2,31.1,3987.2,1001.9,174.96,0
BATCH-2024066,1189.2,614.0,14314.6,170660.0,1901.4,192.6,77.2,52.0,35.2,3112.2,1497.6,136.89,0
BATCH-2024067,1350.5,598.0,15235.3,208068.0,400.0,224.3,117.0,40.7,33.1,3455.2,1450.5,157.54,0
BATCH-2024068,1254.2,575.0,14697.4,196604.0,1026.0,222.2,64.2,52.1,36.4,3632.2,1114.7,152.94,0
BATCH-2024069,1103.2,555.0,12586.1,151415.0,400.0,233.4,117.9,58.3,23.7,3450.4,840.5,117.0,0
BATCH-2024070,1254.2,587.0,14314.6,178665.0,400.0,247.2,,54.8,38.5,3903.9,958.5,136.91,0
BATCH-2024071,1430.7,626.0,17002.5,198292.0,7000.0,238.5,65.6,51.1,29.6,3566.9,1996.3,176.15,0
BATCH-2024072,1194.6,606.0,14150.9,177039.0,972.8,221.8,91.9,57.8,44.6,3926.7,1097.0,140.6,0
BATCH-2024073,1434.7,563.0,16905.8,220945.0,4150.2,211.7,99.4,59.0,22.5,4220.7,1367.2,183.19,0
BATCH-2024074,807.0,605.0,9933.7,133075.0,734.7,255.9,91.7,61.6,41.9,2319.0,674.5,99.99,0
BATCH-2024075,1323.3,612.0,15228.3,199086.0,2860.4,225.7,43.5,52.8,29.6,3983.0,1334.7,158.49,0
BATCH-2024076,1213.1,573.0,19293.0,194987.0,3570.2,250.2,62.0,43.0,22.8,4003.5,962.9,168.11,1
BATCH-2024077,1155.1,605.0,13129.1,162232.0,2263.6,224.7,72.6,46.8,24.1,2880.0,1141.3,129.14,0
BATCH-2024078,1213.8,602.0,14120.4,168438.0,1594.6,227.4,76.4,59.5,25.4,3864.3,927.3,137.05,0
BATCH-2024079,901.9,566.0,10306.4,134835.0,1326.9,223.3,91.7,35.2,31.4,2400.4,1237.0,109.6,0
BATCH-2024080,1167.0,611.0,13469.6,178130.0,1072.6,218.1,81.9,49.4,32.2,3360.2,985.3,137.17,0
BATCH-2024081,1253.6,617.0,14713.6,187773.0,6631.4,218.4,48.6,40.3,23.4,3685.5,1490.8,162.02,0
BATCH-2024082,1421.7,632.0,15940.3,196713.0,4439.0,224.6,86.4,45.3,27.8,3450.1,1907.3,167.61,0
BATCH-2024083,1122.3,632.0,13952.2,167626.0,7000.0,218.5,91.4,60.3,45.1,2967.8,1334.5,153.6,0
BATCH-2024084,1078.7,559.0,11902.3,151373.0,400.0,216.4,90.3,47.3,41.8,2887.3,1159.9,119.22,0
BATCH-2024085,1124.7,572.0,12327.4,174068.0,3281.4,226.3,101.8,45.6,31.5,3231.0,1047.7,141.24,0
BATCH-2024086,1337.3,615.0,15958.1,203529.0,6965.3,221.9,96.3,28.7,28.3,3580.8,1172.1,172.8,0
BATCH-2024087,1249.3,615.0,14762.9,179878.0,499.9,243.0,88.1,54.0,29.0,2960.8,1354.6,141.68,0
BATCH-2024088,1120.5,615.0,13198.2,163969.0,400.0,193.2,76.5,52.7,32.9,2942.1,1794.3,129.05,0
BATCH-2024089,1277.0,716.0,14999.6,183075.0,3378.5,238.1,41.5,71.0,19.8,3162.1,1436.4,150.4,0
BATCH-2024090,1214.6,617.0,13961.3,181683.0,2136.1,240.0,87.5,41.3,25.9,3059.0,1258.9,143.15,0
BATCH-2024091,1345.3,634.0,15022.3,209436.0,4610.2,200.1,82.6,47.6,14.7,3009.6,1456.5,167.11,0
BATCH-2024092,1094.7,629.0,17046.3,156318.0,400.0,245.9,84.0,48.0,31.2,2884.7,1083.5,126.47,1
BATCH-2024093,1150.9,620.0,12896.2,176660.0,3965.1,220.5,49.9,63.9,33.2,3212.7,763.6,139.45,0
BATCH-2024094,1141.2,591.0,13611.2,166936.0,562.9,208.1,54.2,43.9,24.1,3416.8,1412.3,132.18,0
BATCH-2024095,980.5,623.0,11201.9,140728.0,446.8,215.7,101.2,48.3,40.6,2532.0,1496.8,109.95,0
BATCH-2024096,1244.4,577.0,13898.1,185806.0,448.6,211.7,77.1,52.3,18.2,3549.8,972.6,141.29,0
BATCH-2024097,1239.2,593.0,14089.6,177592.0,4212.8,246.0,93.0,47.2,16.3,3672.2,1712.3,147.15,0
BATCH-2024098,1200.8,585.0,14015.3,175686.0,2735.5,236.2,78.6,39.6,29.8,3787.9,1069.5,143.23,0
BATCH-2024099,1164.8,602.0,13113.5,165139.0,1850.9,240.3,78.7,47.3,36.4,3085.7,1243.1,131.67,0
BATCH-2024100,987.7,669.0,10947.4,163872.0,1111.2,233.7,98.6,57.9,41.5,2404.7,598.7,121.58,0
BATCH-2024101,1136.9,544.0,,170818.0,5243.0,236.5,66.6,32.7,24.3,3655.1,1352.4,156.46,1
BATCH-2024102,1148.6,621.0,13331.3,166691.0,1245.8,218.7,80.1,46.6,36.6,2640.1,1307.6,132.61,0
BATCH-2024103,1079.7,552.0,12162.6,163661.0,4240.2,230.9,67.8,36.6,27.7,2708.6,900.5,136.32,0
BATCH-2024104,1175.8,586.0,13286.3,175472.0,1445.7,210.3,68.4,59.3,26.6,3280.4,1494.4,139.73,0
BATCH-2024105,1260.6,633.0,14613.0,187323.0,1182.8,233.6,71.2,26.7,35.1,3649.7,1872.5,144.81,0
BATCH-2024106,1482.9,602.0,16329.6,227353.0,1552.9,222.1,82.9,38.3,33.2,3839.4,2211.0,178.71,0
BATCH-2024107,1226.2,568.0,18086.5,189988.0,896.6,245.5,67.5,49.5,15.4,3732.9,1095.8,154.4,1
BATCH-2024108,1238.6,579.0,13885.1,181551.0,3441.9,233.5,105.6,63.8,39.8,3615.7,1269.5,150.12,0
BATCH-2024109,1188.8,620.0,13564.9,173718.0,1746.5,230.3,58.3,44.2,39.0,3768.8,1004.8,139.78,0
BATCH-2024110,912.2,578.0,10645.6,134627.0,660.6,220.7,73.9,38.3,23.0,2295.8,1398.2,102.72,0
BATCH-2024111,1196.0,606.0,14491.9,160988.0,5745.8,238.9,68.3,67.6,31.2,2937.7,1691.5,144.05,0
BATCH-2024112,1209.0,601.0,,169234.0,1210.8,212.0,109.8,27.6,32.0,3293.5,1332.1,136.15,0
BATCH-2024113,1569.5,580.0,17969.1,246358.0,1960.7,232.4,82.3,18.6,30.1,3873.9,2071.4,191.74,0
BATCH-2024114,1171.1,664.0,13458.7,188832.0,5923.7,232.1,100.7,50.3,23.6,3023.7,1200.5,157.88,0
BATCH-2024115,1245.2,619.0,13818.9,184793.0,2447.0,221.3,45.3,39.0,22.6,3231.5,1416.2,146.86,0
BATCH-2024116,1194.8,539.0,13730.9,183831.0,400.0,228.9,,32.7,27.8,3234.6,797.7,142.86,0
BATCH-2024117,1024.7,606.0,11639.7,156195.0,7000.0,210.0,97.6,53.5,37.4,2585.0,1279.3,138.89,0
BATCH-2024118,1371.4,580.0,15932.7,230345.0,2470.2,236.1,79.8,47.9,32.3,3904.6,1010.2,179.23,0
BATCH-2024119,1312.8,626.0,14683.5,205875.0,1019.6,222.8,101.4,38.2,25.0,3049.7,1607.8,154.11,0
